geo,TIME_PERIOD,Passengers_Mil_KM,km_railways,population,GDP_Capita,area,cars_per_capita,fuel_price,passengers_per_capita,passengers_per_km_rail,rail_density,pop_density,gdp_per_km_rail
Croatia,2024,1148.0,2617.0,3861967.0,17060.0,56594.0,513.0,1.536264150943396,297.25784813800846,438670.23309132596,0.046241651058416086,68.23986641693466,6.518914787925105
Czechia,2004,6580.0,9612.0,10195347.0,15250.0,78868.0,374.0,,645.3924520666143,684560.9654598419,0.1218745245219861,129.27102246792109,1.5865584685809404
Czechia,2005,6667.0,9614.0,10198855.0,16180.0,78868.0,387.0,0.9535804081632653,653.7008321032116,693467.8593717496,0.12189988334939392,129.3155018511944,1.682962346577907
Czechia,2006,6922.0,9597.0,10223577.0,17200.0,78868.0,401.0,1.0474738775510204,677.0624410614797,721267.0626237366,0.12168433331642745,129.62896231678246,1.7922267375221423
Czechia,2007,6898.0,9588.0,10254233.0,18050.0,78868.0,414.0,1.0639034693877552,672.697801971147,719440.9678765123,0.12157021859309225,130.01766242328955,1.8825615352523988
Czechia,2008,6773.0,9586.0,10343422.0,18330.0,78868.0,424.0,1.2316148979591837,654.8123048639029,706551.2205299395,0.12154485976568444,131.1485266521276,1.912163571875652
Czechia,2009,6472.0,9578.0,10425783.0,17350.0,78868.0,424.0,1.0322018,620.7687230781611,675715.1806222594,0.12144342445605315,132.19281584419537,1.8114428899561494
Czechia,2010,6559.0,9568.0,10462088.0,17770.0,78868.0,429.0,1.2546514285714285,626.9303030140828,685514.2140468227,0.12131663031901405,132.65314195871582,1.857232441471572
Czechia,2011,6669.0,9572.0,10486731.0,18120.0,78868.0,436.0,1.4070151020408164,635.946511834813,696719.5988299206,0.12136734797382968,132.9656007506213,1.893021312160468
Czechia,2012,7196.0,9570.0,10505445.0,17970.0,78868.0,448.0,1.4628981632653062,684.9781232494197,751933.1243469175,0.12134198914642187,133.20288329867626,1.8777429467084639
Czechia,2013,7512.0,9560.0,10516125.0,17970.0,78868.0,450.0,1.3955702040816327,714.3315622436971,785774.0585774059,0.12121519500938277,133.33829943703404,1.8797071129707112
Czechia,2014,7644.0,9559.0,10512419.0,18370.0,78868.0,459.0,1.317671224489796,727.1399665481371,799665.2369494718,0.12120251559567885,133.29130952984735,1.9217491369390103
Czechia,2015,8125.0,9566.0,10538275.0,19270.0,78868.0,485.0,1.1541879591836735,770.9990487057892,849362.32490069,0.12129127149160623,133.61914845057564,2.0144260924106208
Czechia,2016,8738.0,9564.0,10553843.0,19760.0,78868.0,502.0,1.058425,827.9448538319169,913634.4625679632,0.12126591266419841,133.8165415631181,2.0660811375993307
Czechia,2017,9403.0,9567.0,10578820.0,20760.0,78868.0,522.0,1.15092,888.8514976150459,982857.7401484268,0.12130395090531014,134.13323527920068,2.1699592348698653
Czechia,2018,10220.0,9572.0,10610055.0,21320.0,78868.0,540.0,1.2527136,963.2372310982365,1067697.4508984538,0.12136734797382968,134.52927676624233,2.2273297116590056
Czechia,2019,10856.0,9562.0,10649800.0,22050.0,78868.0,554.0,1.2418142857142858,1019.3618659505343,1135327.3373771177,0.12124055383679058,135.03322006390425,2.3060029282576866
Czechia,2020,6623.0,9542.0,10693939.0,20980.0,78868.0,576.0,1.0678868,619.3227771357215,694089.2894571369,0.12098696556271238,135.59287670538114,2.1987004820792286
Czechia,2021,6752.0,9523.0,10494836.0,21830.0,78868.0,579.0,1.2819434693877552,643.3640316056392,709020.2667226715,0.12074605670233808,133.0683673986915,2.2923448493121916
Czechia,2022,9394.0,9521.0,10516707.0,21910.0,78868.0,582.0,1.6959911764705882,893.2453856516113,986661.0650141792,0.12072069787493027,133.3456788558097,2.3012288625144417
Czechia,2023,9996.0,9514.0,10827529.0,21680.0,78868.0,597.0,1.5741259615384615,923.2023299129469,1050662.182047509,0.12063194197900289,137.28671958208653,2.2787471095228087
Czechia,2024,10294.0,9514.0,10900555.0,21950.0,78868.0,608.0,1.487989602678209,944.3555855642213,1081984.4439772966,0.12063194197900289,138.21264644722828,2.3071263401303344
Denmark,2004,5921.0,2646.0,5397640.0,48770.0,42924.0,350.0,,1096.9608940203495,2237717.3091458804,0.06164383561643835,125.74876525952847,18.43159486016629
Denmark,2005,5961.0,2646.0,5411405.0,49780.0,42924.0,353.0,1.2116324489795918,1101.5623484104406,2252834.4671201813,0.06164383561643835,126.06944832727612,18.813303099017386
Denmark,2006,6097.0,2646.0,5427459.0,51510.0,42924.0,371.0,1.2792567346938775,1123.3617794256945,2304232.804232804,0.06164383561643835,126.44345820519989,19.467120181405896
Denmark,2007,6163.0,2606.0,5447084.0,51790.0,42924.0,378.0,1.3044885714285714,1131.4310555886416,2364927.0913277054,0.06071195601528283,126.90066163451682,19.873369148119725
Denmark,2008,6267.0,2606.0,5475791.0,51270.0,42924.0,381.0,1.387209387755102,1144.4921838689606,2404834.9961627014,0.06071195601528283,127.56944832727612,19.673829623944744
Denmark,2009,6161.0,2606.0,5511451.0,48460.0,42924.0,383.0,1.2810301999999998,1117.854445226856,2364159.63161934,0.06071195601528283,128.40021899170628,18.59554873369148
Denmark,2010,6341.0,2606.0,5534738.0,49010.0,42924.0,389.0,1.4409142857142856,1145.6730201140506,2433231.005372218,0.06071195601528283,128.942735998509,18.806600153491942
Denmark,2011,6605.0,2615.0,5560628.0,49440.0,42924.0,394.0,1.6102555102040816,1187.8154769569192,2525812.619502868,0.06092162892554282,129.54589507035692,18.906309751434033
Denmark,2012,6744.0,2615.0,5580516.0,49260.0,42924.0,399.0,1.7002977551020406,1208.4903976621517,2578967.4952198854,0.06092162892554282,130.00922560805145,18.837476099426386
Denmark,2013,6785.0,2615.0,5602628.0,49750.0,42924.0,405.0,1.6770614000000001,1211.0388196396405,2594646.2715105163,0.06092162892554282,130.52436865157023,19.02485659655832
Denmark,2014,6513.0,2612.0,5627235.0,50110.0,42924.0,410.0,1.6463885714285715,1157.4067903686268,2493491.5773353754,0.060851737955456155,131.09763768521108,19.184532924961715
Denmark,2015,6507.0,2552.0,5659715.0,50810.0,42924.0,419.0,1.5021897959183672,1149.7045345922895,2549764.8902821317,0.05945391855372286,131.85432392134936,19.90987460815047
Denmark,2016,6332.0,2539.0,5707251.0,51950.0,42924.0,429.0,1.4134422,1109.4658356536272,2493895.23434423,0.05915105768334731,132.9617696393626,20.460811343048444
